date,sales
2019-02-03,5820.0
2019-02-04,23116.0
2019-02-05,24517.0
2019-02-06,8380.64
2019-02-07,12216.8
2019-02-08,15960.0
2019-02-10,8712.2
2019-02-11,23291.4
2019-02-12,24579.0
2019-02-13,11070.0
2019-02-14,13556.0
2019-02-15,13759.0
2019-02-17,3524.0
2019-02-18,18085.0
2019-02-19,24739.0
2019-02-20,12197.0
2019-02-21,10566.0
2019-02-22,14164.0
2019-02-24,5728.0
2019-02-25,30691.614
2019-02-26,3987.0
2019-02-27,19722.0
2019-02-28,14595.0
2019-03-01,25812.058
2019-03-02,147.0
2019-03-03,7791.0
2019-03-04,33076.0
2019-03-05,17695.0
2019-03-06,20770.0
2019-03-07,14068.5
2019-03-08,12891.0
2019-03-09,0.0
2019-03-10,5326.116
2019-03-11,21036.0
2019-03-12,16112.0
2019-03-13,20734.0
2019-03-14,11651.0
2019-03-15,19157.0
2019-03-17,5256.0
2019-03-18,23298.0
2019-03-19,10523.0
2019-03-20,17726.62
2019-03-21,16141.24
2019-03-22,12957.868
2019-03-24,4725.0
2019-03-25,26096.0
2019-03-26,11094.5
2019-03-27,19572.0
2019-03-28,10063.0
2019-03-29,25523.24
2019-03-31,9278.0
2019-04-01,29021.0
2019-04-02,18134.0
2019-04-03,15962.431
2019-04-04,13931.08
2019-04-05,18442.16
2019-04-07,6491.0
2019-04-08,32913.0
2019-04-09,16024.0
2019-04-10,12568.0
2019-04-11,14566.016
2019-04-12,19761.0
2019-04-13,10.0
2019-04-14,10712.0
2019-04-15,20580.0
2019-04-16,14538.0
2019-04-17,12039.0
2019-04-18,13802.2
2019-04-19,14800.0
2019-04-22,828.0
2019-04-23,33524.4
2019-04-24,14849.0
2019-04-25,8822.0
2019-04-26,13051.0
2019-04-28,12453.0
2019-04-29,24468.0
2019-04-30,21090.05
2019-05-01,3518.0
2019-05-02,13878.0
2019-05-03,14653.022
2019-05-05,5265.0
2019-05-06,22737.84
2019-05-07,21294.0
2019-05-08,9913.0
2019-05-09,10373.0
2019-05-10,15994.0
2019-05-12,10173.1
2019-05-13,26077.0
2019-05-14,22666.0
2019-05-15,13381.84
2019-05-16,12222.0
2019-05-17,20060.06
2019-05-19,214.0
2019-05-20,32375.62
2019-05-21,21349.344
2019-05-22,14914.516
2019-05-23,10521.0
2019-05-24,15621.5
2019-05-27,23390.0
2019-05-28,31602.24
2019-05-29,16697.0
2019-05-30,1819.0
2019-05-31,14103.0
2019-06-02,9404.0
2019-06-03,29098.0
2019-06-04,16916.0
2019-06-05,15329.0
